row_index,confidence,Mfg_Part_Num,Part_Desc,BRAND_NAME,MANUFACTURER_NAME,Classpath,SHORT_DESC,INVOICE_DESC,invoice_chars,MOBILE_DESC,mobile_chars,review_reasons
724,0.541,MWUG42010524,UTW Pro Heated Glove Blk XL,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG42010524 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG42010524, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
725,0.541,MWUG42010624,UTW Pro Heated Glove Blk 2X,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG42010624 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG42010624, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
726,0.541,MWUG36010225,MWUG36010225 BLK SM Aerial Snow Heated Glove,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG36010225 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG36010225, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
727,0.541,MWUG36010325,MWUG36010325 BLK MD Aerial Snow Heated Glove,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG36010325 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG36010325, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
728,0.541,MWUG36010425,MWUG36010425 BLK LG Aerial Snow Heated Glove,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG36010425 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG36010425, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
729,0.541,MWUG36010525,MWUG36010525 BLK XL Aerial Snow Heated Glove,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG36010525 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG36010525, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
730,0.541,MWUG36010625,MWUG36010625 BLK 2X Aerial Snow Heated Glove,,,Safety & Personal Protection>Hand Protection>Work Gloves,"MWUG36010625 Work Gloves, Black",WORK GLOVES BLK,15,"Work Gloves, MWUG36010625, Black, Work Gloves, PPE",50,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 50 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
78,0.541,PTD70GBPTDG,PTD70GBPTDG GE Gas Dryer DG,,,Appliances & Consumer Electronics>Laundry Appliances>Dryers,"PTD70GBPTDG Dryer, Gas Fuel",DRYER GAS,9,"Dryer, PTD70GBPTDG, Gas Fuel, Dryers, Large Appliances",54,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 54 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
96,0.542,38-E,Dark Chocolate 38-E Mortar - Type N,,,Building Materials & Millwork>Concrete & Masonry>Mortar & Grout,38-E Mortar,MORTAR,6,"Mortar, 38-E, Mortar & Grout, Masonry",37,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 37 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
97,0.542,59-J,Light Buff 59-J Mortar - Type N,,,Building Materials & Millwork>Concrete & Masonry>Mortar & Grout,59-J Mortar,MORTAR,6,"Mortar, 59-J, Mortar & Grout, Masonry",37,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 37 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
98,0.542,44-A,Light Chocolate 44-A Mortar - Type N,,,Building Materials & Millwork>Concrete & Masonry>Mortar & Grout,44-A Mortar,MORTAR,6,"Mortar, 44-A, Mortar & Grout, Masonry",37,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 37 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
771,0.542,MID6630201US,MID6630201US Deos663XCV Sander,,,Tools & Equipment>Power Tools>Sanders,MID6630201US Sander,SANDER,6,"Sander, MID6630201US, Sanders, Power Tools",42,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 42 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
95,0.543,25-A,Charcoal Black 25-A Mortar - Type N,,,Building Materials & Millwork>Concrete & Masonry>Mortar & Grout,"25-A Mortar, Charcoal",MORTAR CHARCOAL,15,"Mortar, 25-A, Charcoal, Mortar & Grout, Masonry",47,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 47 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
705,0.543,XB11PCVS,XB11PCVS Edge Safety Glasses - Photochromic Lense,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"XB11PCVS Safety Glasses, Glass",SAFETY GLASSES GLASS,20,"Safety Glasses, XB11PCVS, Glass, Safety Glasses, PPE",52,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 52 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
703,0.544,XPAP418,XPAP418 Edge Safety Glasses - Pumori Black Frame,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"XPAP418 Safety Glasses, Glass, Black",SAFETY GLASSES GLASS BLK,24,"Safety Glasses, XPAP418, Glass, Black, Safety Glasses, PPE",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
704,0.544,XDAP419,XDAP419 Edge Safety Glasses - Dawson Black Frame Red Lenses,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"XDAP419 Safety Glasses, Glass, Black",SAFETY GLASSES GLASS BLK,24,"Safety Glasses, XDAP419, Glass, Black, Safety Glasses, PPE",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
706,0.544,KB121VS,KB121VS Edge Safety Glasses - Kabru Black Frame,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"KB121VS Safety Glasses, Glass, Black",SAFETY GLASSES GLASS BLK,24,"Safety Glasses, KB121VS, Glass, Black, Safety Glasses, PPE",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
707,0.544,KB126VS,KB126VS Edge Safety Glasses - Kabru Black Frame,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"KB126VS Safety Glasses, Glass, Black",SAFETY GLASSES GLASS BLK,24,"Safety Glasses, KB126VS, Glass, Black, Safety Glasses, PPE",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
708,0.544,TC121VS,TC121VS Edge Safety Glasses - Tacana Black Frame,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"TC121VS Safety Glasses, Glass, Black",SAFETY GLASSES GLASS BLK,24,"Safety Glasses, TC121VS, Glass, Black, Safety Glasses, PPE",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
709,0.544,TC126VS,TC126VS Edge Safety Glasses - Tacana Black Frame,,,Safety & Personal Protection>Eye Protection>Safety Glasses,"TC126VS Safety Glasses, Glass, Black",SAFETY GLASSES GLASS BLK,24,"Safety Glasses, TC126VS, Glass, Black, Safety Glasses, PPE",58,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | MOBILE_DESC is 58 chars, outside the 60-80 window | brand unresolved: every brand column held a placeholder and no alias was found in the description"
697,0.58,1624157,TW52 WH INSIDE CAS VIN WRAPPED,ANDERSEN,ANDERSEN,,"ANDERSEN 1624157 CAS VIN WRAPPED, White",CAS VIN WRAPPED WHT,19,"ANDERSEN, CAS VIN WRAPPED, 1624157, White",41,"Classpath is empty | MOBILE_DESC is 41 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
585,0.58,NEB-FLT-1021,NEBFLT1021 Slyde King FlashLt,King Canada,King Canada,,King Canada NEB-FLT-1021 Slyde King FlashLt,SLYDE KING FLASHLT,18,"King Canada, Slyde King FlashLt, NEB-FLT-1021",45,"Classpath is empty | MOBILE_DESC is 45 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
911,0.58,230.312.08,230.312.08 CMT Locked Dado Pro Set,CMT,CMT,,CMT 230.312.08 Dado Pro Set,DADO PRO SET,12,"CMT, Dado Pro Set, 230.312.08",29,"Classpath is empty | MOBILE_DESC is 29 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
602,0.58,PBUC013,PBUC013 15A Wall Tap w/USB,Prime,Prime,,Prime PBUC013 Wall Tap USB,WALL TAP USB 15A,16,"Prime, Wall Tap USB, PBUC013, 15 A",34,"Classpath is empty | MOBILE_DESC is 34 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
775,0.58,21839NN,"21839NN File Bstd Mill 10""",Nicholson,Nicholson,,"Nicholson 21839NN File Bstd Mill, 10 in Width",FILE BSTD MILL 10IN,19,"Nicholson, File Bstd Mill, 21839NN, 10 in Width",47,"Classpath is empty | MOBILE_DESC is 47 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
940,0.58,KPTJS100A,KPTJS100A Kreg 20V Ionic Barrel Grip Jigsaw,Kreg®,Kreg Tool Company,,Kreg® KPTJS100A Barrel Grip Jigsaw,BARREL GRIP JIGSAW 20V,22,"Kreg Tool Company Kreg, Barrel Grip Jigsaw, KPTJS100A, 20 V",59,"Classpath is empty | MOBILE_DESC is 59 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
582,0.581,59025BK,59025BK Kichler Post Lt,Kichler®,Kichler Lighting LLC,,Kichler® 59025BK Kichler Post Light,KICHLER POST LIGHT,18,"Kichler Lighting LLC Kichler, Kichler Post Light, 59025BK",57,"Classpath is empty | MOBILE_DESC is 57 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
814,0.581,DCD799B,DCD799B Dewalt Drill,DEWALT®,Stanley Black & Decker Inc,,DEWALT® DCD799B Dewalt Drill,DEWALT DRILL,12,"Stanley Black & Decker Inc DEWALT, Dewalt Drill, DCD799B",56,"Classpath is empty | MOBILE_DESC is 56 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
904,0.581,578192,578192 Festool D 150 GR SYS - Systainer Abrasive Set,Festool®,Festool USA,,Festool® 578192 Systainer Abrasive Set,SYSTAINER ABR SET,17,"Festool USA Festool, Systainer Abrasive Set, 578192",51,"Classpath is empty | MOBILE_DESC is 51 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
905,0.581,578806,578806 Festool Delta S GR PRO/10,Festool®,Festool USA,,Festool® 578806 Delta GR PRO,DELTA GR PRO,12,"Festool USA Festool, Delta GR PRO, 578806",41,"Classpath is empty | MOBILE_DESC is 41 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
587,0.581,97708,97708 Police 800L Headlight,Police Security,Police Security,,Police Security 97708 Police Headlight,POLICE HEADLIGHT,16,"Police Security, Police Headlight, 97708",40,"Classpath is empty | MOBILE_DESC is 40 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
715,0.581,1046870,1046870 Smoke & CO Alarm,BRK,BRK,,BRK 1046870 Smoke CO Alarm,SMOKE CO ALARM,14,"BRK, Smoke CO Alarm, 1046870",28,"Classpath is empty | MOBILE_DESC is 28 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
459,0.582,S3720,S3720 40w Inc A15 Med 26k,Satco®,Satco Products Inc,,Satco® S3720 Inc Med,INC MED 40W,11,"Satco Products Inc Satco, Inc Med, S3720, 40 W",46,"Classpath is empty | MOBILE_DESC is 46 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
778,0.583,DWHT10993,DWHT10993 Folding Knife,DEWALT®,Stanley Black & Decker Inc,,DEWALT® DWHT10993 Folding Knife,FOLDING KNIFE,13,"Stanley Black & Decker Inc DEWALT, Folding Knife, DWHT10993",59,"Classpath is empty | MOBILE_DESC is 59 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
779,0.583,DWHT10994,DWHT10994 Folding Knife,DEWALT®,Stanley Black & Decker Inc,,DEWALT® DWHT10994 Folding Knife,FOLDING KNIFE,13,"Stanley Black & Decker Inc DEWALT, Folding Knife, DWHT10994",59,"Classpath is empty | MOBILE_DESC is 59 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template"
639,0.637,CES700P3MD1,"CES700P3MD1 Cafe 30"" Range Bk - Display",,,Appliances & Consumer Electronics>Kitchen Appliances>Ranges,"CES700P3MD1 Range, Black, 30 in Width",RANGE BLK 30IN,14,"Range, CES700P3MD1, Black, 30 in Width, Ranges, Large Appliances",64,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
109,0.637,73045028,Custom Finyline Wh Gate Sq Bal,,,Tools & Equipment>Hand Tools>Layout & Measuring,"73045028 Measuring Tool, White",MEASURING TOOL WHT,18,"Measuring Tool, 73045028, White, Layout & Measuring, Hand Tools",63,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
638,0.638,PEP9030DTBB,"PEP9030DTBB 30"" GE Cooktop Bk",,,Appliances & Consumer Electronics>Kitchen Appliances>Cooktops,"PEP9030DTBB Cooktop, Black, 30 in Width",COOKTOP BLK 30IN,16,"Cooktop, PEP9030DTBB, Black, 30 in Width, Cooktops, Large Appliances",68,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
279,0.638,73018076,4x4 Wh Flat Post Cap RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73018076 Post, 4 in Nominal Width, 4 in Length",POST 4IN 4IN,12,"Post, 73018076, 4 in Nominal Width, 4 in Length, 4 in x 4 in",60,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
342,0.638,1728ABL,2x2 Black Fine Fissured 1728BL,,,Building Materials & Millwork>Ceilings>Acoustical Ceiling Tile,"1728ABL Ceiling Tile, Black, 2 in Nominal Width, 2 in Length, Mineral Fiber",CEILING TILE BLK 2IN 2IN,24,"Ceiling Tile, 1728ABL, Black, 2 in Nominal Width, 2 in Length",61,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
280,0.638,61109087,Wh 4x4-39 Blank Post RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"61109087 Post, 4 in Nominal Thickness, 4 in Nominal Width, 39 ft Length",POST 4IN 39FT,13,"Post, 61109087, 4 in Nominal Thickness, 4 in Nominal Width, 39 ft Length",72,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
275,0.638,73012503,4x4 Wh Heritage Post Trim RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73012503 Post, 4 in Nominal Width, 4 in Length",POST 4IN 4IN,12,"Post, 73012503, 4 in Nominal Width, 4 in Length, 4 in x 4 in",60,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
276,0.638,73018131,6x6 Wh Elite Post Trim 4pc RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73018131 Post, 6 in Nominal Width, 6 in Length",POST 6IN 6IN,12,"Post, 73018131, 6 in Nominal Width, 6 in Length, 6 in x 6 in",60,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
277,0.638,73018091,4x4 Wh Elite Post Trim RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73018091 Post, 4 in Nominal Width, 4 in Length",POST 4IN 4IN,12,"Post, 73018091, 4 in Nominal Width, 4 in Length, 4 in x 4 in",60,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
278,0.638,73018066,Clay 6x6 Elite Post Trim RDI - 4pc,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73018066 Post, 6 in Nominal Width, 6 in Length",POST 6IN 6IN,12,"Post, 73018066, 6 in Nominal Width, 6 in Length, 6 in x 6 in",60,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
281,0.639,73018731,Wh 6x6-108 Post Sleeve RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73018731 Post, 6 in Nominal Thickness, 6 in Nominal Width, 108 ft Length",POST 6IN 108FT,14,"Post, 73018731, 6 in Nominal Thickness, 6 in Nominal Width, 108 ft Length",73,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
282,0.639,61109090,Wh 4x4-108 Post Sleeve RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"61109090 Post, 4 in Nominal Thickness, 4 in Nominal Width, 108 ft Length",POST 4IN 108FT,14,"Post, 61109090, 4 in Nominal Thickness, 4 in Nominal Width, 108 ft Length",73,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
283,0.639,73053603,Clay 4x4-108 Post Sleeve RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73053603 Post, 4 in Nominal Thickness, 4 in Nominal Width, 108 ft Length",POST 4IN 108FT,14,"Post, 73053603, 4 in Nominal Thickness, 4 in Nominal Width, 108 ft Length",73,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
284,0.639,73053608,Clay 6x6-108 Post Sleeve RDI,,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"73053608 Post, 6 in Nominal Thickness, 6 in Nominal Width, 108 ft Length",POST 6IN 108FT,14,"Post, 73053608, 6 in Nominal Thickness, 6 in Nominal Width, 108 ft Length",73,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
632,0.639,WOSP30100SS,WOSP30100SS Beko Wall Oven SS,,,Appliances & Consumer Electronics>Kitchen Appliances>Wall Ovens,"WOSP30100SS Wall Oven, Stainless Steel",WALL OVEN SST,13,"Wall Oven, WOSP30100SS, Stainless Steel, Wall Ovens, Large Appliances",69,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
296,0.639,SPB-44BPL,"Patriot 4""x4""x37""/43"" Adjustable Self Leveling Support Post",,,Building Materials & Millwork>Decking & Railing>Posts & Post Caps,"SPB-44BPL Post, 4 in Nominal Thickness, 4 in Nominal Width, 37 in Length",POST 4IN 37IN,13,"Post, SPB-44BPL, 4 in Nominal Thickness, 4 in Nominal Width, 37 in Length",73,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
328,0.639,2733,3'x65' Henry Eaveguard - Ice Guard,,,Building Materials & Millwork>Roofing>Underlayment & Ice Barrier,"2733 Roofing Underlayment, 3 ft Nominal Width, 65 ft Length",ROOFING UNDERLAYMENT 3FT 65FT,29,"Roofing Underlayment, 2733, 3 ft Nominal Width, 65 ft Length",60,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
329,0.64,7547,Ice Guard OC Weathr Lk Mat 2sq,,,Building Materials & Millwork>Roofing>Underlayment & Ice Barrier,7547 Roofing Underlayment,ROOFING UNDERLAYMENT,20,"Roofing Underlayment, 7547, Underlayment & Ice Barrier, Roofing",63,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
931,0.64,JT1-549,"JT1-549 JWBS18SFX 18"" Bandsaw - 1.75HP 1PH 115V",,,Tools & Equipment>Power Tools>Band Saws,"JT1-549 Bandsaw, Corded Electric Power Source, 115 V, 1.75 HP Motor Power, 18 in Blade or Wheel Size",BANDSAW CORDED ELEC 115V 1.75HP,31,"Bandsaw, JT1-549, Corded Electric Power Source, 115 V, 1.75 HP Motor Power",74,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
633,0.641,MSER2090S,MSER2090S LG Microwave SS,,,Appliances & Consumer Electronics>Kitchen Appliances>Microwave Ovens,"MSER2090S Microwave Oven, Stainless Steel",MICROWAVE OVEN SST,18,"Microwave Oven, MSER2090S, Stainless Steel, Microwave Ovens, Large Appliances",77,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
634,0.641,GCST16S1WSS,GCST16S1WSS GE Microwave SS,,,Appliances & Consumer Electronics>Kitchen Appliances>Microwave Ovens,"GCST16S1WSS Microwave Oven, Stainless Steel",MICROWAVE OVEN SST,18,"Microwave Oven, GCST16S1WSS, Stainless Steel, Microwave Ovens",61,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
636,0.641,SMC2266KS,SMC2266KS Microwave SS Display Only,,,Appliances & Consumer Electronics>Kitchen Appliances>Microwave Ovens,"SMC2266KS Microwave Oven, Stainless Steel",MICROWAVE OVEN SST,18,"Microwave Oven, SMC2266KS, Stainless Steel, Microwave Ovens, Large Appliances",77,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
649,0.641,CVM517P3RD1,CVM517P3RD1 Cafe Microwave Bk - Display,,,Appliances & Consumer Electronics>Kitchen Appliances>Microwave Ovens,"CVM517P3RD1 Microwave Oven, Black",MICROWAVE OVEN BLK,18,"Microwave Oven, CVM517P3RD1, Black, Microwave Ovens, Large Appliances",69,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
650,0.641,PMOS1980AF,PMOS1980AF OTR Microwave SS - Display Only,,,Appliances & Consumer Electronics>Kitchen Appliances>Microwave Ovens,"PMOS1980AF Microwave Oven, Stainless Steel",MICROWAVE OVEN SST,18,"Microwave Oven, PMOS1980AF, Stainless Steel, Microwave Ovens",60,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
652,0.641,KMMF530PBE,KMMF530PBE OTR Microwave BO Display Only,,,Appliances & Consumer Electronics>Kitchen Appliances>Microwave Ovens,"KMMF530PBE Microwave Oven, Black",MICROWAVE OVEN BLK,18,"Microwave Oven, KMMF530PBE, Black, Microwave Ovens, Large Appliances",68,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
76,0.641,WKE100HWA,WKE100HWA LG Laundry Center Wh - Display,,,Appliances & Consumer Electronics>Laundry Appliances>Laundry Centers,"WKE100HWA Laundry Center, White",LAUNDRY CENTER WHT,18,"Laundry Center, WKE100HWA, White, Laundry Centers, Large Appliances",67,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
310,0.642,653258,"5/8"" 4x9 Drywall Firelite",,,Building Materials & Millwork>Panels & Sheet Goods>Drywall & Gypsum Board,"653258 Drywall Panel, 5/8 in Nominal Thickness, 4 in Nominal Width, 9 in Length, Gypsum",DRYWALL PANEL 5/8IN 4IN 9IN,27,"Drywall Panel, 653258, 5/8 in Nominal Thickness, 4 in Nominal Width",67,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
60,0.642,KDFM404KPS,KDFM404KPS Dishwasher SS,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"KDFM404KPS Dishwasher, Built-in Mounting, Stainless Steel",DISHWASHER BLTLN SST,20,"Dishwasher, KDFM404KPS, Built-in Mounting, Stainless Steel, Built-In Dishwashers",80,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
61,0.642,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"PDSH4816AF Dishwasher, Built-in Mounting, Stainless Steel",DISHWASHER BLTLN SST,20,"Dishwasher, PDSH4816AF, Built-in Mounting, Stainless Steel, Built-In Dishwashers",80,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
62,0.642,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"PDT715SYVFS Dishwasher, Built-in Mounting, Stainless Steel",DISHWASHER BLTLN SST,20,"Dishwasher, PDT715SYVFS, Built-in Mounting, Stainless Steel, Large Appliances",77,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
63,0.642,LDPH5554D,LDPH5554D LG Dishwasher BSS,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"LDPH5554D Dishwasher, Built-in Mounting, Black Stainless Steel",DISHWASHER BLTLN BSST,21,"Dishwasher, LDPH5554D, Built-in Mounting, Black Stainless Steel",63,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
64,0.642,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"WDTS7024RZ Dishwasher, Built-in Mounting, Stainless Steel",DISHWASHER BLTLN SST,20,"Dishwasher, WDTS7024RZ, Built-in Mounting, Stainless Steel, Built-In Dishwashers",80,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
65,0.642,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,,,Appliances & Consumer Electronics>Kitchen Appliances>Built-In Dishwashers,"PDD415PYYFS Dishwasher, Built-in Mounting, Stainless Steel",DISHWASHER BLTLN SST,20,"Dishwasher, PDD415PYYFS, Built-in Mounting, Stainless Steel, Large Appliances",77,BRAND_NAME is empty | MANUFACTURER_NAME is empty | brand unresolved: every brand column held a placeholder and no alias was found in the description
